Welcome to the profile statistics browser.
cProfiled.rmm.pool% cProfiled.rmm.pool% Wed May 11 16:21:45 2022    cProfiled.rmm.pool

         11575143 function calls (11544055 primitive calls) in 75.363 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.084    0.017    0.084    0.017 {built-in method _ctypes.dlopen}
    34272    0.084    0.000    0.084    0.000 {method 'transpose' of 'cupy._core.core.ndarray' objects}
     5712    0.076    0.000    0.131    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_core/_gufuncs.py:47(_validate_normalize_axes)
      474    0.073    0.000    0.231    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/emcee/moves/de.py:40(get_proposal)
    10608    0.071    0.000    0.071    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
     5712    0.067    0.000    0.106    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_einsum.py:67(_parse_einsum_input)
    11424    0.061    0.000    0.106    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_core/_gufuncs.py:240(_transpose_element)
    34272    0.061    0.000    0.098    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_einsum.py:442(_tuple_sorted_by_0)
   271218    0.061    0.000    0.061    0.000 {method 'append' of 'list' objects}
    21971    0.057    0.000    0.057    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/_internal.py:250(__init__)
     4852    0.056    0.000    0.057    0.000 {method 'sub' of 're.Pattern' objects}
      200    0.052    0.000   62.669    0.313 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/emcee/moves/red_blue.py:52(propose)
    21356    0.049    0.000    0.163    0.000 <__array_function__ internals>:2(can_cast)
    11472    0.049    0.000    0.052    0.000 {built-in method cupy._core.core.array}
     3252    0.048    0.000    0.607    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
      381    0.048    0.000    0.124    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/_lib/doccer.py:10(docformat)
       25    0.046    0.002    0.046    0.002 {method 'astype' of 'numpy.ndarray' objects}
    11424    0.046    0.000    0.152    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_einsum.py:424(_make_transpose_axes)
   2456/1    0.045    0.000   75.369   75.369 {built-in method builtins.exec}
    59083    0.045    0.000    0.059    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/numeric.py:1858(isscalar)
      332    0.044    0.000    0.075    0.000 {built-in method io.open}
        1    0.043    0.043    0.043    0.043 {built-in method cupy_backends.cuda.libs.curand.createGenerator}
      168    0.041    0.000    0.119    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/emcee/moves/de_snooker.py:31(get_proposal)
