Welcome to the profile statistics browser.
cProfiled.rmm.pool% cProfiled.rmm.pool% Wed May 11 16:21:45 2022    cProfiled.rmm.pool

         11575143 function calls (11544055 primitive calls) in 75.363 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/fft/_pocketfft/__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/base.py:258(IndexOpsMixin)
        7    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        1    0.000    0.000    0.002    0.002 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/patsy/build.py:8(<module>)
        1    0.000    0.000    0.636    0.636 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/llvmlite/binding/dylib.py:1(<module>)
        1    0.000    0.000    0.055    0.055 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/callconv.py:1(<module>)
       30    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/getlimits.py:17(_fr0)
        1    0.000    0.000    0.005    0.005 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/utils/cudautils.py:3(<module>)
        1    0.000    0.000    0.018    0.018 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/util/hashing.py:1(<module>)
        6    0.000    0.000    0.010    0.002 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/iolib/summary.py:767(add_table_2cols)
       73    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/enum.py:438(<genexpr>)
        4    0.000    0.000    0.001    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/_lib/_docscrape.py:581(__str__)
       12    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/stats/_continuous_distns.py:54(_call_super_mom)
        1    0.000    0.000    0.003    0.003 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/dtypes/dtypes.py:1(<module>)
       45    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/typeconv/typeconv.py:63(set_safe_convert)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/base.py:175(BaseContext)
      112    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/misc/dummyarray.py:163(<genexpr>)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/signal/_ltisys.py:1(<module>)
        1    0.000    0.000    0.018    0.018 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/platform.py:3(<module>)
       35    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/logging/__init__.py:227(_releaseLock)
        4    0.000    0.000    0.008    0.002 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/_lib/_docscrape.py:140(__init__)
       27    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/dateutil/tz/tz.py:488(_read_tzfile)
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/sre_parse.py:971(parse_template)
       17    0.000    0.000    0.001    0.000 {method 'mean' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/optimize/_slsqp_py.py:1(<module>)
       59    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/compat/_inspect.py:144(<lambda>)
       10    0.000    0.000    0.001    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/ma/extras.py:239(getdoc)
       13    0.000    0.000    0.001    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/computation/expr.py:188(_filter_nodes)
       56    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/cuda/cudadrv/driver.py:508(__exit__)
       13    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/getlimits.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/cuda/api.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/tqdm/utils.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/email/message.py:5(<module>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/llvmlite/ir/values.py:84(_ConstOpMixin)
        1    0.000    0.000    0.000    0.000 cuda/_lib/utils.pyx:1(__Pyx_PyMODINIT_FUNC PyInit_utils(void))
        1    0.000    0.000    0.005    0.005 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/linalg/_basic.py:7(<module>)
       70    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/types/scalars.py:49(__lt__)
       11    0.000    0.000    0.001    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/nanops.py:76(__init__)
        2    0.000    0.000    0.001    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/utils/dtypes.py:497(find_common_type)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/arrays/string_.py:1(<module>)
       35    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/_collections_abc.py:775(keys)
       12    0.000    0.000    0.007    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pkg_resources/_vendor/pyparsing.py:4251(__init__)
        3    0.000    0.000    0.001    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/typing.py:1866(__new__)
       24    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(around)
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/regression/linear_model.py:1740(rsquared_adj)
        1    0.000    0.000    0.012    0.012 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/cuda/simulator/__init__.py:1(<module>)
        1    0.000    0.000    0.112    0.112 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/compat/numpy/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/computation/pytables.py:1(<module>)
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/iolib/table.py:252(insert_header_row)
       18    0.000    0.000    0.020    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/tools/docstring.py:568(__init__)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/joblib/externals/loky/backend/queues.py:12(<module>)
      134    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/six.py:93(__init__)
        1    0.000    0.000    0.003    0.003 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/unittest/case.py:1(<module>)
       10    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/_collections_abc.py:78(_check_methods)
        1    0.000    0.000    0.006    0.006 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/nonparametric/kde.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/core/multiindex.py:3(<module>)
        1    0.000    0.000    0.002    0.002 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/io/common.py:522(get_handle)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/tsa/deterministic.py:1052(DeterministicProcess)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/ctypes/_endian.py:1(<module>)
      141    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/types/abstract.py:114(__repr__)
       24    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/arrayprint.py:715(_extendLine_pretty)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/pickle.py:1136(_Unpickler)
        4    0.000    0.000    0.001    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/_lib/_docscrape.py:349(_parse_summary)
       52    0.000    0.000    0.001    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/ops/common.py:30(wrapper)
       21    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(where)
       36    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/string.py:258(parse)
       19    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/core/column_accessor.py:178(level_names)
       18    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/llvmlite/ir/values.py:52(wrap)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/_lib/_util.py:1(<module>)
      117    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/_collections_abc.py:409(__subclasshook__)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/internals/managers.py:224(_rebuild_blknos_and_blklocs)
        1    0.000    0.000    0.003    0.003 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/optimize/_lsq/least_squares.py:1(<module>)
       20    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/core/frame.py:144(_num_rows)
        1    0.000    0.000    0.007    0.007 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/core/column/lists.py:3(<module>)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/types/abstract.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/getlimits.py:237(_get_machar)
        2    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/indexes/base.py:6375(default_index)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/numerictypes.py:442(_construct_lookups)
    28/20    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/core/frame.py:390(__len__)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/cuda/cudadrv/driver.py:1101(set_memory_manager)
        1    0.000    0.000    0.002    0.002 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/sparse/_compressed.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/llvmlite/ir/instructions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/core/indexed_frame.py:160(IndexedFrame)
       47    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/stats/_distn_infrastructure.py:971(_get_support)
       34    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/accessor.py:91(_create_delegator_method)
       13    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/patsy/__init__.py:70(_reexport)
        1    0.000    0.000    0.074    0.074 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/typing/context.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/plotting/_core.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/byteflow.py:1(<module>)
        1    0.000    0.000    0.008    0.008 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/tsa/statespace/dynamic_factor.py:2(<module>)
       24    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(round_)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/np/ufunc/array_exprs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/window/ewm.py:119(ExponentialMovingWindow)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/google/protobuf/internal/well_known_types.py:31(<module>)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/fsspec/core.py:1(<module>)
        6    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/iolib/summary.py:359(<listcomp>)
        2    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/internals/blocks.py:1890(get_block_type)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/optimize/__init__.py:430(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/utils/queryutils.py:22(<setcomp>)
        1    0.000    0.000    0.003    0.003 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/joblib/func_inspect.py:1(<module>)
       52    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/ops/common.py:17(unpack_zerodim_and_defer)
       50    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/core/column_accessor.py:151(__iter__)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/compiler.py:41(Flags)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/optimize/_cobyla_py.py:1(<module>)
       16    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/_type_aliases.py:44(_bits_of)
        8    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/tools/docstring.py:625(replace_block)
        1    0.000    0.000    0.005    0.005 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/cuda/cuda_paths.py:55(_get_libdevice_paths)
       43    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/compiler_machinery.py:32(__init__)
        1    0.000    0.000    0.002    0.002 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/multivariate/factor_rotation/_wrappers.py:4(<module>)
        2    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/groupby/generic.py:146(pinner)
        1    0.000    0.000    0.018    0.018 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/secrets.py:1(<module>)
      162    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/computation/expr.py:257(_node_not_implemented)
        1    0.000    0.000    0.035    0.035 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/random/_pickle.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/hashlib.py:5(<module>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/arrays/sparse/array.py:223(SparseArray)
       44    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/tools/docstring.py:434(_str_header)
        2    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/selectors.py:235(register)
       13    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/posixpath.py:100(split)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/joblib/externals/cloudpickle/cloudpickle_fast.py:513(CloudPickler)
        4    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
       11    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/cuda/cudadrv/driver.py:351(_find_api)
       33    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       20    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/types/scalars.py:41(from_bitwidth)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/h5py/_hl/dataset.py:343(Dataset)
        1    0.000    0.000    0.319    0.319 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/core/scalar.py:3(<module>)
        1    0.000    0.000    0.002    0.002 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/uuid.py:1(<module>)
       75    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/overrides.py:111(set_module)
        1    0.000    0.000    0.029    0.029 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/io/orc.py:3(<module>)
       12    0.000    0.000    0.006    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/core/frame.py:3407(min)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/email/_policybase.py:99(_extend_docstrings)
       24    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'seed' of 'numpy.random.mtrand.RandomState' objects}
        3    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/regression/linear_model.py:1575(__init__)
       46    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/dataclasses.py:470(_init_param)
      119    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/computation/expr.py:196(<lambda>)
       24    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/arrayprint.py:701(_extendLine)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/strings/base.py:12(BaseStringArrayMethods)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/ntpath.py:2(<module>)
        1    0.000    0.000    0.004    0.004 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/dateutil/parser/_parser.py:2(<module>)
        1    0.000    0.000    0.002    0.002 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/interpolate/_bsplines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/integrate/_quadrature.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pkg_resources/_vendor/packaging/utils.py:5(<module>)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/emcee/ensemble.py:25(EnsembleSampler)
       20    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/compat/python.py:38(lrange)
        2    0.000    0.000    0.001    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pkg_resources/_vendor/pyparsing.py:2863(__init__)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/calendar.py:1(<module>)
       17    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/core/dtypes/dtypes.py:1139(construct_from_string)
        2    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/cuda/cudadrv/driver.py:827(__init__)
       17    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/_dtype_ctypes.py:71(_from_ctypes_scalar)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/compiler_machinery.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/_testing/_io.py:1(<module>)
       24    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/fromnumeric.py:3730(round_)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/urllib/parse.py:437(urlsplit)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/genmod/generalized_linear_model.py:1448(GLMResults)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/cloudpickle/cloudpickle_fast.py:1(<module>)
       56    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/cuda/cudadrv/devices.py:188(_set_attached_context)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/cusparse.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pandas/io/parquet.py:1(<module>)
       26    0.000    0.000    0.004    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/fft/_basic.py:16(_dispatch)
       12    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/posixpath.py:373(abspath)
        1    0.000    0.000    0.005    0.005 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/patsy/eval.py:13(<module>)
       15    0.000    0.000    0.002    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/dataclasses.py:575(_cmp_fn)
       10    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/functools.py:191(<setcomp>)
        1    0.000    0.000    0.003    0.003 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/statsmodels/tsa/statespace/varmax.py:2(<module>)
        6    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cudf/core/index.py:916(equals)
        1    0.000    0.000    0.000    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/interpreter.py:317(Interpreter)
        3    0.000    0.000    0.002    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/dateutil/parser/__init__.py:36(__deprecate_private_class)
